PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT
1631260,AJ Green,AJ,1610612749,MIL,26.0,4,3,1,0.75,26.8,4.0,6.3,0.64,3.3,5.5,0.591,1.0,1.3,0.8,0.0,2.5,2.5,0.8,1.3,0.3,0.0,0.0,3.3,1.5,12.3,8.3,15.9,0,0,19.3,125,46,248,88,129,134,190,48,12,69,23,183,217,159,327,180,238,281,161,290,244,252,54,184,123,40,218,70,3,171,1
1642358,AJ Johnson,AJ,1610612764,WAS,20.0,2,0,2,0.0,2.9,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,-1.0,1.4,0,0,1.0,328,343,114,343,399,385,391,385,298,351,298,321,325,321,327,339,359,305,352,321,244,252,353,350,392,216,392,70,3,395,1
203932,Aaron Gordon,Aaron,1610612743,DEN,30.0,4,3,1,0.75,29.8,6.8,11.8,0.574,3.0,5.8,0.522,4.8,4.8,1.0,0.3,5.3,5.5,2.3,1.5,0.8,0.3,0.3,1.5,3.8,21.3,10.8,32.7,0,0,34.0,125,46,248,88,93,52,88,82,18,60,37,41,54,1,299,44,90,145,127,171,175,198,249,56,38,25,65,70,3,53,1
1628988,Aaron Holiday,Aaron,1610612745,HOU,29.0,1,1,0,1.0,7.2,2.0,3.0,0.667,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,-1.0,5.0,0,0,6.0,386,241,344,1,340,244,292,36,167,235,41,321,325,321,327,372,384,357,352,321,244,252,378,350,260,216,348,70,3,326,1
1630174,Aaron Nesmith,Aaron,1610612754,IND,26.0,4,0,4,0.0,32.5,3.8,12.8,0.294,2.8,7.5,0.367,0.5,1.8,0.286,1.5,3.3,4.8,1.0,0.5,0.0,0.5,1.0,2.8,2.5,10.8,-2.8,19.0,0,0,20.3,125,343,9,343,53,147,67,349,34,21,142,268,169,316,86,128,121,243,287,321,102,23,97,98,147,284,179,70,3,165,1
1630598,Aaron Wiggins,Aaron,1610612760,OKC,26.0,5,5,0,1.0,28.8,5.4,12.0,0.45,2.6,6.8,0.382,0.8,0.8,1.0,1.6,3.2,4.8,2.4,1.4,0.2,0.8,0.2,2.2,0.4,14.2,6.0,25.2,0,0,26.0,1,1,344,1,104,92,79,214,38,37,127,232,276,1,79,136,117,131,143,309,55,234,172,319,102,63,125,70,3,109,1
1642846,Ace Bailey,Ace,1610612762,UTA,19.0,4,2,2,0.5,15.6,1.5,6.0,0.25,0.5,2.3,0.222,0.5,0.5,1.0,1.0,1.5,2.5,1.5,0.5,0.0,0.3,0.3,1.3,1.0,4.0,-10.8,9.5,0,0,9.0,125,128,114,170,255,281,196,360,239,221,259,268,299,1,136,256,238,206,287,321,175,198,277,229,283,404,292,70,3,286,1
1641737,Adem Bona,Adem,1610612755,PHI,22.0,4,4,0,1.0,17.2,0.8,1.8,0.429,0.0,0.0,0.0,1.0,1.8,0.571,1.5,1.5,3.0,0.8,0.8,0.3,2.3,0.0,1.5,1.8,2.5,6.0,14.0,0,0,11.3,125,9,344,1,241,337,347,232,298,351,298,183,169,262,86,256,201,281,255,290,3,252,249,158,326,63,239,70,3,265,1
1642349,Ajay Mitchell,Ajay,1610612760,OKC,23.0,5,5,0,1.0,26.6,7.0,14.8,0.473,1.6,4.6,0.348,2.6,2.6,1.0,1.2,2.6,3.8,3.0,1.4,1.2,0.2,0.6,3.0,3.4,18.2,3.6,30.1,0,0,29.4,1,1,344,1,133,45,41,194,104,101,163,87,118,1,128,174,158,96,143,79,216,100,65,66,60,107,81,70,3,81,1
201143,Al Horford,Al,1610612744,GSW,39.0,3,3,0,1.0,23.2,2.7,6.3,0.421,1.3,3.7,0.364,0.0,0.0,0.0,1.3,2.7,4.0,1.0,1.7,0.7,0.3,0.3,2.3,0.0,6.7,-5.3,14.3,0,0,15.0,273,46,344,1,175,213,189,246,143,144,143,321,325,321,113,172,137,243,115,195,161,182,152,350,229,350,235,70,3,227,1
1627936,Alex Caruso,Alex,1610612760,OKC,31.0,2,2,0,1.0,26.9,2.5,7.0,0.357,2.0,5.5,0.364,1.0,1.0,1.0,0.5,1.5,2.0,3.0,0.5,2.0,1.0,0.5,1.5,2.0,8.0,0.5,23.4,0,0,21.0,328,128,344,1,127,215,170,305,69,69,143,183,242,1,235,256,264,96,287,9,31,121,249,131,195,172,141,70,3,157,1
1642259,Alex Sarr,Alex,1610612764,WAS,20.0,4,1,3,0.25,27.6,8.0,14.5,0.552,1.0,2.8,0.364,2.5,3.0,0.833,2.0,6.8,8.8,4.5,3.0,0.8,2.0,1.5,2.0,3.5,19.5,-1.3,42.0,2,0,39.3,125,241,57,296,117,26,45,94,167,194,143,95,94,135,51,19,24,48,20,171,5,3,179,60,48,232,25,14,3,33,1
