TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK
1611661330,Atlanta Dream,40,15,25,0.375,1615.0,94.6,96.6,98.2,100.1,-3.7,-3.6,0.661,1.33,16.6,0.308,0.731,0.513,0.173,0.452,0.501,96.7,94.75,78.96,3190,0.476,31,59,43,58,62,75,7,57,19,71,70,30,3,13,63,75,74,74,61
1610612737,Atlanta Hawks,87,40,47,0.46,4158.0,111.1,113.0,112.1,114.2,-1.0,-1.2,0.682,1.84,19.7,0.301,0.712,0.503,0.152,0.543,0.577,105.3,103.47,86.23,8961,0.496,10,19,65,48,21,29,60,43,8,16,7,40,21,35,37,28,44,8,43
1612709890,Austin Spurs,34,22,12,0.647,1635.0,117.5,114.2,104.8,102.3,12.6,11.9,0.523,1.48,15.8,0.327,0.696,0.513,0.148,0.541,0.593,98.0,100.62,83.85,3421,0.558,43,33,6,9,52,19,9,2,75,57,75,15,41,17,28,30,18,26,4
1612709913,Birmingham Squadron,34,12,22,0.353,1639.0,110.5,108.7,115.9,112.7,-5.4,-4.0,0.639,1.61,18.5,0.288,0.683,0.486,0.161,0.537,0.581,95.5,97.57,81.31,3329,0.474,43,67,39,60,43,55,50,59,28,45,27,55,62,64,54,36,37,60,63
1610612738,Boston Celtics,87,63,24,0.724,4166.0,117.3,119.2,108.1,110.4,9.2,8.9,0.627,2.16,18.9,0.297,0.715,0.507,0.124,0.559,0.589,98.6,96.74,80.62,8397,0.539,10,3,42,5,14,2,27,5,38,1,18,42,15,29,2,5,23,67,9
1610612751,Brooklyn Nets,87,29,58,0.333,4160.0,105.5,107.9,112.3,114.8,-6.8,-6.9,0.666,1.63,18.2,0.294,0.699,0.487,0.157,0.516,0.552,99.3,97.12,80.94,8415,0.452,10,27,71,63,20,58,66,67,16,41,34,46,36,60,47,61,60,64,70
1612709928,Capital City Go-Go,34,20,14,0.588,1632.0,117.7,114.5,110.8,109.1,6.9,5.4,0.659,1.68,19.4,0.292,0.659,0.486,0.162,0.565,0.624,97.7,99.78,83.15,3392,0.534,43,42,14,24,59,12,19,11,21,33,13,51,72,61,56,3,1,39,10
1610612766,Charlotte Hornets,90,26,64,0.289,4271.0,104.0,106.7,111.8,113.8,-7.8,-7.1,0.632,1.56,17.5,0.308,0.702,0.5,0.158,0.503,0.537,100.6,98.44,82.04,8750,0.459,3,31,73,68,5,60,59,68,34,50,53,29,34,39,48,68,69,52,66
1610612741,Chicago Bulls,87,41,46,0.471,4153.0,111.2,112.6,112.1,114.5,-0.9,-1.9,0.668,1.92,19.6,0.263,0.715,0.493,0.143,0.55,0.582,105.4,103.64,86.36,8970,0.493,10,18,63,44,24,30,62,46,15,10,8,70,14,52,19,18,34,4,47
1611661329,Chicago Sky,40,13,27,0.325,1600.0,94.9,97.0,100.9,103.5,-6.0,-6.5,0.639,1.33,16.8,0.341,0.713,0.519,0.179,0.457,0.495,98.0,95.72,79.76,3191,0.444,31,65,46,65,72,74,10,66,26,73,66,8,20,7,69,74,75,72,72
